,sym,stock,open,high,low,close,volume
2019-06-27,2542,興富發,49.75,49.95,49.70,49.75,1733320
2019-06-26,2542,興富發,50.00,50.00,49.55,49.75,1428856
2019-06-25,2542,興富發,50.00,50.10,49.75,49.95,1974741
2019-06-24,2542,興富發,50.00,50.20,49.85,50.00,2498697
2019-06-21,2542,興富發,50.00,50.10,49.75,50.00,2582913
2019-06-20,2542,興富發,49.90,50.10,49.70,49.90,2208481
2019-06-19,2542,興富發,49.20,49.90,49.10,49.90,4014971
2019-06-18,2542,興富發,48.70,49.00,48.65,49.00,1455295
2019-06-17,2542,興富發,48.50,49.10,48.50,48.55,1807154
2019-06-14,2542,興富發,48.50,48.75,48.40,48.50,1200209
2019-06-13,2542,興富發,48.75,48.85,48.50,48.50,1299317
2019-06-12,2542,興富發,48.60,48.85,48.55,48.75,1091250
2019-06-11,2542,興富發,48.70,49.05,48.55,48.60,1781985
2019-06-10,2542,興富發,48.60,48.90,48.55,48.70,2345452
2019-06-06,2542,興富發,48.60,48.90,48.50,48.50,949051
2019-06-05,2542,興富發,49.00,49.15,48.65,48.70,1244396
2019-06-04,2542,興富發,48.95,49.15,48.85,49.00,1447455
2019-06-03,2542,興富發,48.75,49.10,48.50,48.90,1734921
2019-05-31,2542,興富發,48.15,48.85,48.10,48.80,1733794
2019-05-30,2542,興富發,48.40,48.70,48.15,48.15,1890255
2019-05-29,2542,興富發,48.70,49.00,48.35,48.35,1538781
2019-05-28,2542,興富發,49.45,49.60,48.60,48.60,5896397
2019-05-27,2542,興富發,48.40,49.20,48.25,49.20,2539215
2019-05-24,2542,興富發,48.25,48.40,48.05,48.15,1182065
2019-05-23,2542,興富發,48.10,48.30,47.90,48.05,1120857
2019-05-22,2542,興富發,48.00,48.15,47.95,48.10,1183909
2019-05-21,2542,興富發,48.20,48.40,47.95,48.10,1391256
2019-05-20,2542,興富發,47.55,48.25,47.50,47.95,1380611
2019-05-17,2542,興富發,47.80,48.05,47.35,47.50,1796824
2019-05-16,2542,興富發,47.80,48.05,47.60,47.75,1371036
2019-05-15,2542,興富發,47.80,48.00,47.70,47.80,1699383
2019-05-14,2542,興富發,47.30,48.30,47.10,48.05,2121116
2019-05-13,2542,興富發,48.40,48.50,47.80,47.80,1836100
2019-05-10,2542,興富發,47.90,48.40,47.75,48.05,1828080
2019-05-09,2542,興富發,48.20,48.25,48.00,48.00,2516639
2019-05-08,2542,興富發,48.55,48.80,48.25,48.50,2192763
2019-05-07,2542,興富發,48.75,49.00,48.70,48.70,1248166
2019-05-06,2542,興富發,49.00,49.00,48.60,48.75,1702698
2019-05-03,2542,興富發,49.40,49.50,49.15,49.25,1117575
2019-05-02,2542,興富發,49.45,49.50,49.30,49.40,1351875
2019-04-30,2542,興富發,49.55,49.60,49.05,49.45,1898038
2019-04-29,2542,興富發,48.85,49.20,48.80,49.20,1464461
2019-04-26,2542,興富發,48.95,48.95,48.60,48.80,1208063
2019-04-25,2542,興富發,48.65,49.00,48.60,49.00,998623
2019-04-24,2542,興富發,48.95,49.10,48.65,48.65,1496500
2019-04-23,2542,興富發,48.75,48.95,48.50,48.95,1029721
2019-04-22,2542,興富發,48.95,49.00,48.65,48.75,994587
2019-04-19,2542,興富發,48.70,49.40,48.70,48.90,1191167
2019-04-18,2542,興富發,49.20,49.20,48.45,48.60,3410348
2019-04-17,2542,興富發,49.25,49.25,49.05,49.15,1638328
2019-04-16,2542,興富發,49.80,49.80,49.15,49.40,2002644
2019-04-15,2542,興富發,49.30,49.70,49.20,49.50,1634196
2019-04-12,2542,興富發,49.30,49.40,48.90,49.10,2005362
2019-04-11,2542,興富發,49.85,49.85,49.30,49.40,2177915
2019-04-10,2542,興富發,50.20,50.20,49.50,49.90,3291671
2019-04-09,2542,興富發,50.60,50.70,50.20,50.20,1492502
2019-04-08,2542,興富發,50.50,50.70,50.30,50.60,2130979
2019-04-03,2542,興富發,50.70,50.80,50.30,50.50,1835362
2019-04-02,2542,興富發,51.00,51.10,50.30,50.80,2396337
2019-04-01,2542,興富發,51.00,52.20,50.40,50.90,5803646
2019-03-29,2542,興富發,49.95,50.80,49.80,50.80,7076271
